PWK	C57	AJ	129	WSB	CAS	NZO	NOD
149	1.01	1.24	0.98	0.92	1.13	0.92	1.14	1.21
150	0.87	1.24	0.88	0.93	0.93	1.12	0.78	0.86
151	1.15	1.24	1.09	1.29	0.99	0.99	1.21	1.06
152	1.24	0.82	1.06	1	0.92	0.97	0.89	1.03
153	1.12	1.24	0.97	0.93	1	1.04	0.93	1.1
154	0.96	0.82	1.21	1.22	0.96	0.89	1.47	0.96
155	1.01	0.82	0.96	0.95	0.95	1.06	0.8	1.03
156	0.77	0.82	0.87	0.96	1.1	0.92	0.85	0.97
157	1.23	0.82	0.91	1.2	1	0.94	1.16	0.89
158	1.04	1.23	1.2	1.32	1.02	0.96	1.39	0.93
159	0.99	0.82	1.09	0.95	0.9	0.98	0.88	1
160	0.87	0.82	1.12	0.93	0.89	0.94	0.91	0.93
161	1	1.23	1.08	1.02	1.14	1	0.96	1.11
162	0.9	0.82	0.85	0.96	1.12	1	0.98	0.86
163	1.27	1.23	1.52	1.32	0.99	0.79	2.43	0.87
164	1.22	1.23	0.97	1.07	1.06	0.98	1.19	1.15
165	1.1	1.23	1	1.22	0.9	0.86	1.16	1.43
166	1.16	1.23	1.26	1.43	1.24	1.15	1.22	1.36
167	1	1.23	1.18	1.12	1.01	1.13	1.16	1.06
168	1.09	0.83	1.03	0.98	0.78	0.79	1	1.08
169	0.96	1.23	0.96	0.9	1.01	0.83	0.93	0.95
170	0.87	0.83	0.92	1.15	1.01	1.01	1.08	1
171	1.04	1.23	1.11	1.01	1.14	0.98	0.98	1.12
172	1.33	0.83	1.04	0.96	0.82	1.05	0.97	0.98
173	1.1	1.22	0.96	1.03	0.95	0.99	0.83	1.04
174	0.99	0.83	1.05	1.05	1.01	0.92	0.99	0.81
175	0.97	0.83	0.94	1.02	1.01	1	0.86	0.96
176	0.93	0.83	0.69	1.04	0.93	1.01	1.07	0.93
177	1.19	0.83	1.02	1.16	0.9	0.98	0.98	1.12
178	0.83	0.83	1.07	0.88	1.2	1.12	1	1.04
179	1.27	1.22	1.21	1.09	1.02	0.99	1.04	1.02
180	1.04	0.83	0.98	1.06	1.02	0.98	0.69	1.1
181	1.09	1.22	1.34	0.89	0.94	0.98	0.86	1
182	1.13	1.22	1.1	1.24	0.7	1.19	3	0.95
183	0.95	1.22	0.99	0.84	1.11	1.24	0.68	0.92
184	1.32	1.22	1.4	1.82	0.97	0.83	2.27	0.87
185	0.77	0.83	0.97	1.1	0.93	1.7	1.43	0.98
186	0.65	0.83	1.02	1.56	0.9	1.21	0.94	1.1
187	1.09	1.21	1.1	0.84	1.1	1.37	1.16	1.08
188	0.98	1.21	1.03	0.99	1.06	1.17	0.77	0.94
189	0.92	1.21	1.06	1.12	1.28	1.07	1.35	0.91
190	1.29	1.21	1.05	1.12	0.79	0.9	0.84	1.26
191	1.11	1.21	1.16	1.06	0.98	1.1	1.04	1.13
192	1.44	1.21	1.53	1.88	1.01	0.85	2.82	0.8
193	1.03	1.21	1.22	1.06	0.76	1.72	1.41	1.22
194	0.58	1.21	1.43	1.78	1.16	1.22	2.01	1.05
195	1.1	0.84	1.35	1.3	1.06	0.89	1.37	0.88
196	1.15	0.84	1.05	1.09	0.98	0.97	0.96	1.08
197	1.1	0.84	1.11	0.92	0.9	0.95	1.2	1.09
198	0.87	1.21	0.74	1	0.93	0.96	1.13	1.04
199	1.14	1.21	1.16	0.77	0.97	0.95	0.98	0.9
200	1.06	0.84	1.02	0.96	0.75	1.01	1.01	0.94
201	1.19	1.21	1.53	0.88	1.09	0.57	0.86	1.08
202	1.19	1.21	1.23	0.99	0.77	1.02	1.24	1.23
203	1.09	0.84	1.11	1.11	0.98	0.98	1.01	1.12
204	1.22	0.84	0.91	2.02	0.63	0.78	0.74	1.08
205	1.02	1.21	1.34	1.12	1	1.16	1.74	0.9
206	1.04	0.84	1.09	1.12	1.05	1.11	0.81	1.05
207	1.06	0.84	1.2	1.21	0.98	0.9	1	1
