	F6_M_PWK	F6_F_PWK	F7_M_PWK	F10_F_PWK	F6_F_C57	F9_F_C57	F9_M_C57	F10_M_C57	F6_F_AJ	F7_M_AJ	F9_F_AJ	F9_M_AJ	F6_M_129	F7_M_129	F7_F_129	F10_F_129	F6_F_WSB	F9_M_WSB	F10_F_WSB	F10_M_WSB	F6_F_CAS	F7_M_CAS	F10_F_CAS	F10_M_CAS	F6_M_NZO	F7_F_NZO	F9_M_NZO	F10_F_NZO	F7_M_NOD	F7_F_NOD	F9_M_NOD	F9_F_NOD
Sars	0.739356274	0.891841533	0.69990434	0.948370096	0.953639221	0.983719752	0.740061182	0.535561658	1.334854276	1.076089307	1.581743164	1.042366107	0.808786923	0.953150267	0.969226181	1.075949704	1.299959098	1.12089025	1.300596895	1.452067413	1.216933641	1.038932109	1.241357708	1.019147796	0.515228019	1.141046666	0.453446224	1.010821223	1.088842941	1.261298937	0.953752288	1.004816525
Plekho1	0.769661914	0.682366438	0.680172887	0.93606027	0.444345991	0.857951269	0.892186581	1.04298591	0.714405273	0.692821154	0.908049797	1.68470578	0.620217144	0.768904825	0.688469369	0.887381287	0.459169982	0.912399306	0.803377236	1.097080882	0.913516294	0.692260976	0.951594841	0.89878449	0.74727449	0.89602794	0.761591727	1.032303705	0.762921878	0.606464888	0.779256435	0.740969734
Apobec2	1.094364064	1.154814944	0.809621351	1.100318452	0.708915253	0.652789674	1.110214448	0.899933307	0.999290873	0.866963156	1.045805255	1.580368339	0.902507035	0.756856349	0.743019568	0.743711163	0.685929645	0.805080574	0.70486834	1.26605104	0.944825434	1.238648029	1.344466787	1.099990604	1.01090829	1.043133728	1.072917306	0.932720642	1.095738602	0.976345783	0.725300654	1.656961437
Ecm1	0.805515336	0.745964889	1.022472902	0.96199627	1.03258644	1.122311702	2.302260693	0.872286008	0.786704949	0.939000806	0.836331541	0.666795943	0.934214641	1.25990575	0.747364333	0.989973336	2.18595595	1.478274375	1.298176202	0.804762953	1.158062954	0.863787785	1.094210121	0.852083165	0.785779663	0.735586818	1.670376316	0.782694018	1.244271511	1.624782736	1.102201471	0.62785855
Hk2	1.1055936	1.399591387	0.89063459	1.41272991	0.828575385	1.138076531	0.653193855	0.672178529	0.977594024	1.26688482	1.419695724	1.379185591	0.968932442	1.045667005	1.012747908	0.899178257	1.013105389	1.020781804	1.051031871	1.08613748	1.011981254	0.585536087	0.875640808	0.769065675	0.853836316	0.875844199	0.887072601	1.029364651	0.633937599	1.052245326	1.204211555	1.237882454
Mccc1	0.820053145	0.788549681	1.223854546	0.854351077	1.056093679	1.294917133	2.45741131	0.954557222	0.771386879	1.213614185	0.948574757	0.810805778	0.884269869	1.094999148	0.637241093	0.833945982	1.091159738	0.897461854	0.798701943	0.821317437	0.710978233	0.702269175	0.743869015	0.760263171	1.036826676	0.954285095	1.787513915	1.051888182	1.655216022	1.536100187	1.235297035	1.106041387
Ifi204	0.807377516	0.729936101	0.608313394	0.49340423	1.195911746	1.02817656	1.20059366	2.013365005	0.755589901	0.855619692	0.745500523	0.672908281	1.308786352	1.195937922	1.228824014	1.403698495	0.946190091	1.04427259	0.889600617	0.986149111	0.760456786	0.995461618	0.771468318	1.016326371	0.938550314	1.126867992	1.150289989	0.949799309	1.354446793	1.401524146	1.362730423	1.503677107
Gapdh	1.015122537	0.73621031	0.785794819	0.813866417	0.958617282	0.559470672	1.113663545	1.071869144	1.238873391	1.124947802	1.160882997	1.090568513	0.998199554	0.894341605	0.938935834	0.906587736	0.901375867	0.928637802	0.926290906	1.401983128	0.809173922	1.952946889	0.951188164	0.890005763	0.956707354	1.383959733	1.134132698	0.831218873	0.886032009	0.882254811	0.707084292	1.000824689
Echs1	1.007959267	0.808557481	1.296998252	1.146909957	1.038110433	1.13237408	0.774457183	0.722778395	0.918627423	1.110251902	1.134045825	0.927663161	0.941022102	0.771398319	0.957433706	0.811158861	0.971237264	0.544509296	0.935557399	1.281426793	1.503700239	1.285767058	1.749298392	1.047289565	0.622591677	1.435902188	0.702096371	0.929722148	0.820942206	0.811662777	0.768691753	0.765182981
Tuba4a	0.814867833	0.74601254	0.969845023	0.644681664	1.01425789	1.394945962	0.787819645	0.883849749	1.044041103	1.256006322	1.062782712	0.970867501	0.857049303	1.093573274	0.965580152	1.015690005	1.4109489	1.015965091	1.054969206	0.852397471	1.079354963	0.985204955	0.870927153	0.809716694	0.960735395	1.109192314	1.056279887	1.180067162	1.289318102	0.850095753	1.279463788	1.285462025
Ighg2b	0.313185571	0.421623352	0.757532432	0.258236528	1.083787048	1.342900921	2.965603656	0.481062056	0.624804652	1.29646263	0.877243438	0.812686021	0.596579826	0.820062373	0.896496466	0.356688967	0.325779317	0.614115542	0.248173452	0.269362185	0.427423924	1.004774331	0.429800687	0.678382963	0.842370787	1.129059075	1.119593779	0.813492267	1.815178901	2.217522727	1.301101269	1.295717634
Ralgapa2	0.639436569	1.028426339	0.743851005	0.682536008	0.692914757	1.031582613	1.280044519	1.162910773	0.741588015	0.780391087	0.98959688	0.860240659	0.968415876	0.879344494	1.036945958	1.118905883	1.152543671	1.105874685	0.979119745	1.047893343	0.774747581	1.290985135	1.006156773	0.961787715	0.745564902	1.039790623	1.164447398	1.49222795	0.925197434	0.964018811	0.938896958	0.829543303
Sdhb	0.826141896	0.733504992	1.466322413	0.760439739	0.794645144	1.224877426	1.751410985	1.100745856	0.681900076	0.901821093	0.824311249	1.297610355	1.467800501	0.991448717	0.727928114	0.620145322	0.707836625	0.942972081	0.777393572	0.597255213	0.702707077	0.519687192	0.68593219	0.622886538	2.133073472	0.616476883	2.255685577	0.566034273	0.669148309	0.920089782	1.090337853	1.049525068
Slc25a40	0.904676195	0.98865893	0.650977493	0.748059096	1.401773787	1.08517129	0.863998879	0.892105714	2.102116915	1.441498622	1.193228797	1.134777635	1.466253201	1.198877935	1.424253598	1.210843792	1.557557818	1.142384132	1.182816072	1.173590514	1.205715781	0.917699402	0.890757472	0.831282462	1.317956898	0.947387019	0.98503935	1.116328141	0.579125177	0.560977291	0.82078348	0.857138317
Top3b	1.040865981	1.104373185	1.035678699	1.01393814	1.036861256	1.030428135	1.883646563	1.019169906	1.093793313	1.058602318	0.900845965	1.098328492	1.056654321	1.198306115	1.068759569	1.107002629	1.174033314	1.183635565	0.974123059	1.032722275	0.985853027	0.98973718	0.965885068	1.003009292	0.935370926	1.09775843	1.300122331	1.037412011	1.081000951	1.051425354	1.157308173	1.201009901
Fis1	1.255658964	0.84257417	1.131446646	0.916052083	0.859981653	0.938336731	1.23947978	1.282368192	0.81812933	0.96661979	0.856500523	1.199573588	1.033017636	1.091459276	0.888969819	0.756610152	0.744640082	0.902852717	0.706023015	0.86714159	1.118827726	0.894932152	0.652930993	0.661350143	1.602211216	0.950829989	1.757190617	0.691432642	1.022647892	1.008558617	0.987878698	1.238185552
Npepl1	1.345148307	1.407206978	1.297125936	1.044725239	1.555968904	0.96403766	1.041456417	0.750708444	0.908000365	1.112801582	0.905245591	1.034427491	1.966816983	0.956431153	0.982537029	0.881688684	1.723877905	0.937388223	1.048116045	1.170793252	1.532238953	0.999801495	1.034469161	0.941007849	1.337537972	1.20301674	1.264080945	0.868033307	0.941939051	0.907835144	0.935045243	0.913514929
Bcat2	0.861414002	0.817485509	0.977251861	1.130208333	0.721753308	0.655255986	0.666187997	1.254937856	0.809246949	0.989665724	0.624456214	0.647540608	1.09529329	1.51681137	0.964893779	1.539083249	1.374349117	0.895029985	1.093141395	0.797738353	1.953952978	1.027883893	1.123356164	1.203353949	1.051208735	0.957069746	1.412291399	1.768750632	0.984401302	0.816416007	1.601600169	1.393264633
Slc25a3	0.910564457	0.853331231	0.958575122	0.897923303	1.03664189	1.432381096	0.881259817	0.879008516	1.082987133	0.998039572	1.020271728	1.01202697	1.047660333	1.014015396	1.099181109	1.262924976	0.9641581	0.896762576	0.959226115	0.966989053	0.937460693	1.007329345	0.775465543	0.879434628	0.860039247	0.959119857	0.969940576	1.097295205	1.029277893	0.97763812	0.957584192	0.876052295
Zeb2	0.703109181	0.790438842	0.560029418	0.964469058	0.683372682	0.975196332	1.180077757	1.13201253	0.885521737	0.862908171	1.324232533	1.254596829	0.634457091	0.717406673	0.937059323	1.080462462	1.174685494	1.223792987	1.157436709	1.182133796	0.844124738	1.128257915	1.095562106	1.073635718	0.467419184	1.010331063	1.158905989	1.224339675	1.076763616	1.106505925	1.156409517	1.109944038
Tppp3	1.301813702	1.214085858	1.292803268	1.35746017	0.830932484	0.816858488	0.70253181	0.472646568	0.795470367	0.751942027	0.879218264	0.80380497	0.879375427	0.876844635	0.80375554	0.776350761	1.224522892	1.317010467	1.458285541	1.342182539	1.06410567	0.705543565	1.124792702	0.700244018	0.759245774	1.509502762	0.83230071	1.012736162	0.885054407	0.943492005	0.962134601	1.059542709
Cnot1	1.041502121	0.985540495	1.002167668	0.709224431	1.049077683	1.120030581	0.941970235	0.610921092	0.880202251	0.978931633	1.022926356	1.0094931	0.942183795	1.04461186	1.134686849	0.616365462	0.973115348	0.949440293	0.672558464	0.708280061	1.007218904	1.097191818	0.599867443	0.54855041	0.867048364	1.027966011	1.190868354	1.108146728	1.151739509	1.068103637	1.230059936	1.04947583
Sdhc	0.79996477	0.754150421	1.506790684	0.813547758	0.782568122	1.384338607	1.906293308	1.083784707	0.691112967	0.983244959	0.902588182	1.325208343	1.567803843	1.035511311	0.734710646	0.805828565	0.838690964	1.153274236	0.89678165	0.909568341	0.780773844	0.522147328	0.998591685	0.98046472	1.646258305	0.714387279	2.45363552	0.740172477	0.672320844	0.974075293	1.236900548	0.989733319
Reep5	0.991912053	0.859057066	1.269463688	0.883586142	0.811240587	1.070059408	1.64775936	0.947651319	0.865205837	1.046954983	0.976016237	1.123853403	1.091628222	0.908176287	0.80345109	0.788397608	0.919834714	1.064186164	0.945255087	0.979515137	0.950135002	0.948227775	1.063801755	0.850985044	1.648673483	0.969061051	1.88466267	0.7412657	0.906528643	0.967399717	1.089538197	1.148134223
Gpx4	0.893880306	0.836359674	0.858228503	0.81421873	0.968162793	1.555179397	0.974721548	0.848346452	0.947622041	0.988805451	1.003342248	1.007571708	0.989887662	0.990919942	0.881839079	0.882911894	0.924555322	0.938103332	0.857740668	0.998536463	0.758256491	0.931354717	0.821396883	0.780292307	1.406046623	1.39985574	1.300292961	1.394197584	0.949039964	0.930366852	0.965662552	1.063926372
Ahnak2	1.408618756	1.690732507	1.490613079	1.399289514	1.386245867	1.038239203	0.995711538	0.758666896	0.71135697	0.712800508	0.708777712	0.595652634	1.455287749	1.447729021	1.701924382	1.713458611	0.701351196	0.618507443	0.685053163	0.502079003	0.696656887	0.714410773	0.587803443	0.538543959	1.094104122	1.040360856	1.086499928	0.833587168	1.21216056	1.186822168	1.119776071	1.146484707
S100a10	0.843160414	1.001860613	0.979013214	0.854915093	1.034493353	1.18889557	0.863938408	0.745449789	0.922528524	1.024678451	1.090373119	1.125333669	0.907147779	0.873891242	1.069616573	1.014738967	0.980564686	1.269858869	1.170608108	1.025533468	0.862245812	1.029804629	0.902481636	0.780763662	1.042501699	1.062788742	1.303569788	0.970141382	0.963148352	0.89029351	1.031427875	1.195059842
Sdha	0.842501165	0.81336846	1.516831918	0.799946438	0.81393223	1.222718188	1.633606989	1.162967851	0.730004491	0.958428979	0.850434405	1.237093738	1.520902535	1.06400817	0.830419699	0.628730394	0.78996693	0.986849627	0.783818043	0.559785155	0.747484178	0.570242887	0.641470303	0.620047583	1.794948747	0.661388623	2.045223956	0.563862143	0.702043863	0.991218913	1.12519567	1.041492115
Ndufv3	1.123510627	1.587976285	1.074593339	1.15246988	1.511209336	1.468554198	1.090927665	1.082804238	0.746002724	0.687272407	0.523389407	0.9526466	1.373731714	1.119010585	1.051688776	0.686212052	0.677302863	0.643155444	0.716966355	0.571341226	0.810863788	0.342090087	0.496998845	0.562293398	2.249769454	0.638153916	1.167926456	0.537609043	0.562896387	0.895129983	1.097976995	1.233342357
Serpina3m	1.009017244	0.944262059	1.141249501	0.714861005	0.864249246	0.737427124	1.210516916	0.961221218	0.83517342	1.009542821	0.469880268	0.677598375	0.994289629	1.369486823	0.8489823	0.974994816	1.016692084	1.080774506	0.917853044	0.891182495	1.114456126	1.184480778	1.110305793	1.168100395	0.894600684	0.822281754	1.105130737	0.710832007	1.491861896	1.344518612	1.783523828	1.654251175
Ankrd11	1.057856698	0.946607222	0.985270945	1.026528213	1.025605222	1.242125322	0.922293699	0.752098529	1.456309089	1.01041558	1.442289856	0.663248772	0.988473877	1.310396294	1.308626679	0.968417122	0.899374157	1.069671021	0.94479555	1.252659992	0.530678968	0.904133084	0.732116202	0.955026412	0.625279318	1.108402615	0.850697927	1.264569689	1.415452282	1.304130234	1.175784226	1.147364692
Dpf3	0.961155408	0.960894865	1.197768344	1.076445313	0.913413987	0.784021407	1.266946816	1.025270024	0.936239079	0.581525072	1.089404591	0.719143656	0.818661655	0.491437005	1.183471219	1.152159081	0.937520502	1.292636243	1.106590477	1.122246919	1.053793703	1.492050771	1.266572774	1.294827099	0.763594999	1.541286624	0.869696344	1.100199794	1.089748119	1.164962841	0.842614013	0.745968883
