PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Nipsnap2	0.92	0.16	0.19	0.34	-0.22	-0.04	0.01	0.26
Hmgb1	0.04	0.16	-0.31	-0.12	-0.17	-0.4	-0.37	0.03
Nebl.2	-0.08	0.16	-0.04	-0.03	0.17	0.05	-0.18	-0.06
X1700021F05Rik	0.12	0.16	0.04	0.24	0.02	0.05	-0.04	0.02
Dock7	0.12	0.16	0.17	0.18	-0.02	-0.19	-0.08	0.2
Ndufb1	0.27	-0.13	0.51	0.41	0.11	-0.23	0.64	-0.2
Trak1	0.06	-0.13	0.05	0.13	-0.02	-0.01	-0.07	-0.03
Pkm	0.21	0.16	-0.1	0.24	-0.22	-0.29	-0.12	0.45
Ppia	0.37	-0.13	-0.18	0.62	-0.5	-0.16	0.17	0.34
Ndufs1	0.12	-0.13	0.5	0.44	0	-0.16	0.52	-0.21
Mrpl13	0.1	-0.13	-0.02	0.06	-0.03	0.11	-0.01	0.01
Hspa12a	0.01	-0.13	0.07	0.02	-0.09	-0.03	-0.02	-0.11
Usp10	-0.15	0.16	0.15	-0.16	-0.02	-0.01	0.02	0.02
Ep400	-0.09	0.16	-0.12	-0.23	0.03	0.05	-0.31	-0.03
Bub3	-0.08	-0.13	-0.05	-0.25	0.03	0.03	-0.25	0.04
Psmd4	-0.2	-0.13	-0.01	-0.27	0.14	-0.04	0.06	-0.23
Pspc1	-0.15	0.16	-0.15	-0.18	0.04	0.12	-0.25	0
Fitm1	-0.09	0.16	-0.02	-0.03	0.16	0.04	-0.22	0.13
Timm44	-0.44	0.16	-0.04	-0.04	-0.02	-0.16	-0.14	0.05
Krt8	0.19	-0.12	-0.02	-0.39	-0.38	0.87	-0.07	-0.04
Bag5	0.06	0.16	-0.01	-0.12	-0.01	0.14	-0.11	0.01
Pcbd2	-0.02	0.16	0.28	0.23	-0.35	-0.26	0.72	0.1
Cttn	0.01	0.16	-0.07	0.06	-0.03	-0.06	0.04	-0.04
Hdac1	-0.09	0.16	-0.41	-0.22	0	0.1	-0.23	-0.12
Selenok	0.06	-0.12	-0.06	-0.06	0.14	0.2	-0.08	-0.09
Cux1	-0.05	-0.12	0.44	-0.22	-0.25	0.09	-0.34	0.09
Col4a2	0.02	0.16	0.04	0.02	0.03	0.02	-0.22	0.04
Sync	0.03	0.16	0.04	0.13	-0.12	0.08	0.07	0.09
Ndufa13	0.18	-0.12	0.5	0.44	0.02	-0.19	0.67	-0.24
Sacs	-0.01	0.16	-0.03	0.04	0.05	0.01	-0.41	0.01
Mtch2	-0.06	-0.12	0.22	0.15	0.07	-0.12	0.16	-0.12
Tmed10	0.09	0.16	0.23	0.11	-0.01	-0.05	0.42	-0.05
Ndufs5	0.14	-0.12	0.46	0.48	-0.07	-0.25	0.72	-0.27
Mthfd1	-0.16	-0.12	-0.11	-0.03	0.05	-0.16	0.11	-0.16
Pnkd	0.06	-0.12	-0.02	0	-0.01	-0.02	0.08	0.06
Gpam	0.11	0.16	0.17	0.04	0.01	-0.08	-0.01	0.05
Lamb1	-0.01	0.16	-0.03	0	0.09	-0.16	-0.17	-0.02
Ywhaz	0.04	-0.12	0.06	0.29	-0.33	-0.05	0.06	0.11
Lmnb2	-0.13	0.16	-0.19	-0.17	0.16	0.34	-0.27	-0.16
Polr2g	-0.24	0.16	-0.22	-0.33	0.1	0.1	-0.14	0.03
Snrpa	-0.03	0.16	-0.09	-0.21	0.12	0.05	0.01	0.06
Slc25a11	0.09	-0.12	0.32	0.29	0.06	0.02	0.19	-0.05
Psmb4	-0.26	-0.12	-0.11	-0.02	-0.12	-0.22	0.15	-0.18
Add3	-0.03	-0.12	-0.22	-0.11	-0.16	-0.19	-0.2	0.09
Dnajc1	-0.24	0.16	-0.08	-0.13	0.05	0.27	-0.17	-0.03
Nup155	-0.11	0.16	-0.07	-0.2	0.04	0.17	-0.16	-0.05
Sec11a	0	-0.12	-0.05	-0.07	-0.03	-0.02	0	0.09
Dhx30	0	-0.12	-0.28	0.03	0	-0.04	-0.03	0.01
Usmg5	0.14	-0.12	0.12	0.05	0.11	0.1	0.07	0.06
Mfap5	0.14	0.16	0.06	0.12	0.04	0.01	0.26	0.3
Myl3	-0.1	0.16	-0.06	-0.05	0.34	0.09	0.02	-0.14
Vars	0	-0.12	-0.11	0.01	-0.03	-0.1	-0.04	-0.1
Capzb	0.09	-0.12	-0.02	0.2	-0.18	0.06	0.22	0
Fblim1	-0.07	-0.12	-0.01	-0.16	0.2	0.09	-0.06	-0.17
Actn2	-0.1	0.16	-0.03	0.01	0.21	0.07	-0.11	-0.05
Myh6	-0.07	0.16	-0.03	-0.06	0.27	0.1	-0.33	-0.08
Ank2.1	0.06	0.16	0.02	-0.12	0.13	-0.1	-0.26	-0.23
Prpf31	0.02	-0.12	-0.11	-0.1	0.12	0	0.02	0.16
Dhx15	-0.15	-0.12	-0.21	-0.26	0.12	0.05	-0.2	-0.09
Mrps6	0.4	-0.12	0.21	0.4	0.13	0.38	-0.2	0.05
Rangap1	-0.3	-0.12	-0.21	-0.27	0.12	0	-0.44	-0.15
Cd93	0.05	0.16	-0.11	0.24	0.02	-0.21	0	-0.17
Dynll2	-0.17	0.16	0.02	-0.17	0.14	0.01	-0.03	-0.07
C1qtnf9	-0.08	0.16	0.08	0.17	-0.11	-0.13	-0.3	0.11
Surf1	0.06	-0.12	0.31	0.03	0.05	0	-0.04	0.1
Cox7a2l	0.08	-0.12	0.43	0.47	0.02	-0.19	0.76	-0.17
C1qc	0.03	0.16	0.13	0.21	0.21	0.03	0.6	0.08
Pdlim4	0.12	0.16	0.01	-0.11	-0.12	0.14	-0.35	-0.08
Mrpl53	0.26	-0.12	0.22	0.16	0.14	-0.02	0.08	-0.06
Igfbp7	0.12	-0.12	-0.21	0.02	-0.19	-0.07	-0.07	0.03
Ttn	-0.11	0.16	-0.02	-0.02	0.2	0.08	-0.39	-0.04
Ptcd3	0.28	-0.12	0.17	0.14	-0.1	-0.01	0.16	0.19
Lama4	0.05	0.15	0.04	0.06	0.01	-0.11	-0.04	0.06
Postn	0.02	-0.12	-0.15	0.24	-0.2	-0.18	0.23	0.03
Gigyf2	-0.03	-0.12	-0.13	-0.09	-0.18	-0.08	0.05	0.06
Nr3c1	-0.03	-0.12	-0.16	-0.31	-0.22	0.17	-0.15	-0.24
Neb	-0.21	0.15	-0.11	-0.31	-0.08	0.07	-0.21	0.05
Dapk3	-0.02	-0.12	-0.03	0.06	0.12	0.03	0.29	0.03
Psmc4	-0.17	-0.12	-0.02	-0.22	0.06	-0.07	0.27	-0.24
Timm17b	-0.07	-0.12	0.12	-0.03	0.15	-0.06	0	0.01
Ndufa1	0.1	-0.12	0.47	0.45	0.03	-0.19	0.66	-0.25
Fhl3	-0.02	0.15	0.01	0.17	0.18	-0.19	0.11	-0.14
Capzb.1	-0.1	0.15	0	-0.02	0.12	0.12	-0.1	-0.07
Atpif1	0.2	0.15	0.16	0.59	-0.57	-0.18	0.61	-0.01
Psma7	-0.07	-0.12	-0.02	-0.06	-0.07	-0.11	0.13	-0.09
Camk2g	0.32	0.15	0.19	0.07	-0.43	-0.26	-0.04	0.22
Larp4b	0.08	0.15	0.1	0.03	-0.07	-0.26	-0.28	-0.07
Yars	-0.01	-0.12	-0.02	0.02	-0.04	-0.02	-0.19	0.07
Srrt	-0.11	0.15	-0.05	-0.31	0.14	0.25	-0.02	0.05
Tmem223	-0.16	-0.11	0.29	0.07	-0.05	0.03	-0.12	0.03
Tmem38a	-0.11	0.15	-0.04	0.05	0.27	0.15	-0.16	0.08
Vps45	0.48	-0.11	0.14	0.01	0.07	-0.05	-0.17	0.09
Psmd11	-0.02	-0.11	0.04	-0.17	0.07	-0.04	0.14	-0.24
Prkab2	-0.03	-0.11	0.2	0.4	-0.13	-0.21	0.4	0.13
Ptpn11	0.04	-0.11	0.06	0.1	-0.03	0.02	-0.16	-0.11
Hccs	-0.05	-0.11	0.19	0.05	0.02	-0.12	0.12	-0.12
Fth1	-0.14	0.15	0.09	-0.23	0.12	0.14	-0.05	0.08
Lpcat3	0.17	0.15	-0.03	0.24	0.47	0.06	0.06	0.14
Lonp1	0.29	0.15	0.18	0.3	-0.27	-0.2	0.16	-0.13
Thyn1	-0.15	0.15	-0.17	-0.15	-0.15	0	-0.14	-0.06
Map1b	0.11	-0.11	-0.07	-0.07	-0.17	-0.08	-0.18	0.08
Nup50	-1.1	-0.11	-0.17	0.1	0.03	0.05	-0.08	0.06
Tmem11	0.05	-0.11	0.11	0.06	0.01	-0.02	0.04	0
Akap6	-0.06	0.15	-0.05	-0.03	0.1	0.28	-0.18	-0.02
Tagln2	0.3	0.15	0.2	0.65	0.18	-0.23	0.21	-0.16
Golgb1	-0.02	0.15	-0.03	-0.02	0.02	-0.07	0.12	0.12
Paics	-0.14	-0.11	-0.08	-0.4	0.19	-0.1	-0.55	-0.06
Msrb2	0.02	-0.11	-0.06	0.16	0.05	0.02	-0.01	0
Uqcrc1	0.17	-0.11	0.52	0.55	0.05	-0.15	0.83	-0.18
Csrp1	0.03	-0.11	-0.02	0.08	-0.19	-0.26	-0.15	0.07
Papln	0.04	0.15	-0.05	0.14	0.01	0	-0.08	0.08
Las1l	-0.4	-0.11	-0.18	0.1	0.04	-0.18	0.07	0.05
Pxmp2	-0.14	0.15	0.16	0.33	0.17	0	0.45	0.12
Cacnb2	0.01	0.15	0.07	-0.08	-0.02	0.04	-0.06	-0.01
Nup43	-0.1	0.15	-0.37	-0.17	-0.12	-0.04	-0.29	0.09
Sart3	0.32	-0.11	0.47	0.3	-0.04	-0.19	0.19	-0.19
Txnl1	-0.09	-0.11	-0.13	-0.08	-0.02	-0.09	0.19	-0.11
Steap4	0.16	0.15	-0.03	-0.11	0.13	-0.04	0.01	0.15
Mapt	-0.06	-0.11	0.05	0.07	0.01	0.02	0.07	0.11
Retn	-0.3	-0.11	-0.13	-0.42	0.01	0.07	-0.28	-0.34
Ddx6	-0.1	-0.11	0	-0.15	-0.01	-0.2	-0.07	0.01
Dsp	-0.17	0.15	-0.05	-0.14	0.15	0.09	-0.45	-0.08
Rab8a	0.03	-0.11	0.02	0.21	-0.05	-0.12	0.27	0.03
Lmna	-0.14	0.15	-0.17	-0.26	0.08	0.21	-0.2	-0.1
Rpl3l	-0.08	0.15	0.02	-0.08	0.1	0	-0.13	-0.09
Itga7	0.05	0.15	-0.08	0.01	-0.05	-0.05	0.15	0.12
Pabpc1	-0.01	-0.11	-0.01	-0.21	-0.05	-0.31	-0.19	0.05
Rbpj	-0.04	0.15	-0.05	-0.05	0.11	0.2	-0.2	-0.16
Myl2.1	0.34	0.15	0.06	0.13	0.06	0.08	0.03	-0.25
Ndufs8	0.12	-0.11	0.56	0.43	-0.03	-0.15	0.76	-0.22
Rnps1	-0.16	0.15	-0.12	-0.17	0.06	0	-0.21	-0.01
Lama5	0.06	0.15	0.1	0.08	0.04	0.02	-0.12	0.14
Alpk2	-0.44	0.15	-0.01	-0.05	0.08	0.05	-0.13	-0.06
Palld	0.08	0.15	0.07	0.01	0.2	0.09	-0.09	0.03
Poglut1	0.12	-0.11	0.2	0.02	-0.04	-0.02	-0.25	-0.17
Tomm40l	-0.07	-0.11	0.2	0.25	0.06	0	0.24	0
Slc30a9	0.11	0.15	0.23	0.09	-0.03	-0.03	-0.07	0.15
Polr2b	0.13	-0.11	-0.23	-0.05	0.06	0.34	-0.08	-0.07
Sptb	0	0.15	-0.01	-0.05	-0.03	-0.07	-0.21	0.12
Tmod1	-0.1	0.15	-0.01	-0.08	0.2	0.07	-0.14	-0.11
Timm8a1	0.05	-0.11	-0.11	0.35	-0.08	-0.32	0.1	-0.03
Iars	-0.04	-0.11	-0.03	0.01	0.04	0.01	-0.23	-0.12
Bgn	-0.09	-0.11	-0.19	-0.11	-0.33	-0.28	-0.06	-0.25
Akap8	-0.05	0.14	0.53	-0.28	-0.32	-0.07	-0.4	-0.42
Ppp2r1a	0.18	0.14	0.1	-0.09	-0.19	-0.04	0.11	0.13
Hdlbp	-0.06	-0.11	0.01	-0.16	-0.04	-0.23	-0.36	0.04
Eprs	0	-0.11	-0.02	0.04	0.09	-0.03	-0.13	-0.14
Dnajb6	-0.06	0.14	-0.01	-0.07	0.05	0.08	-0.04	-0.02
Map4k4	0.07	0.14	-0.04	0.01	-0.1	0.01	-0.08	-0.03
Sgcb	0	0.14	0.06	-0.09	0.01	0.02	0.03	-0.06
Atp5mf	0.5	0.14	0.53	0.87	-0.04	-0.19	1.35	-0.2
Trim54	0.22	-0.11	-0.06	0.37	-0.51	-0.34	0.87	-0.02
Slc25a19	0.11	-0.11	-0.05	0.11	-0.18	0.09	-0.04	0.16
Pak1ip1	0.01	0.14	-0.14	-0.31	0.07	0.21	-0.24	-0.07
Col6a3	-0.07	-0.11	-0.18	-0.09	-0.09	-0.09	-0.22	-0.15
Sgca	0.02	0.14	0.07	-0.12	0.07	0.07	0.03	-0.11
Polb	0.1	0.14	-0.04	-0.14	0.05	0.06	-0.12	0.03
Tbl2	0.01	0.14	0.04	0.03	-0.02	0.04	0.07	0.09
Plec	-0.01	0.14	-0.03	-0.02	0.14	-0.02	-0.34	-0.02
Pxn	0.22	0.14	-0.12	-0.23	0.04	-0.11	-0.24	0.1
Fundc2	-0.05	-0.1	-0.05	-0.08	-0.04	0.02	-0.23	-0.07
Clu	0.24	0.14	0.22	0.25	-0.07	0.23	0.55	0.18
Ddx50	-0.14	0.14	-0.11	-0.12	0.06	0.16	-0.16	-0.16
Ap3b1	-0.04	-0.1	0.2	-0.08	-0.02	0.18	0.02	0.1
Col4a1	-0.04	0.14	-0.04	0.05	-0.06	-0.15	-0.11	0.32
Tomm20	0	-0.1	0.16	0.03	-0.04	-0.08	-0.06	0.11
Eif2d	-0.06	0.14	-0.12	-0.09	0.03	0.23	-0.14	-0.03
Lum	-0.05	-0.1	-0.02	-0.23	-0.32	-0.28	-0.31	0.02
Dnajb11	0.4	0.14	0.07	0.22	-0.15	-0.24	0.37	0.15
Smpx	-0.09	0.14	-0.08	0.13	0	-0.22	-0.12	-0.13
Mtnd2	0.1	-0.1	0.46	0.51	0.16	-0.31	0.42	-0.1
Mia3	-0.02	0.14	0.08	-0.03	0.24	0.07	0.01	-0.04
Lin7c	-0.04	-0.1	0.16	-0.09	0	-0.15	0.24	0.05
Mrpl41	0.34	-0.1	0.21	0.16	-0.06	0.03	0.17	0.11
Ddrgk1	-0.11	0.14	0.11	-0.06	-0.03	-0.02	0.12	0.01
Hist3h2bb	-0.28	0.14	-0.14	-0.28	-0.11	0.07	-0.33	-0.19
Atxn2l	-0.02	-0.1	0.01	-0.15	0	-0.14	-0.07	-0.05
Prkar1a	0.01	-0.1	0.28	-0.26	0.03	-0.04	0.17	-0.06
Krt7	0.09	-0.1	-0.06	-0.41	-0.09	0.55	0.2	0.16
Aco2	0.21	0.14	-0.15	0.27	-0.15	-0.33	-0.25	0.48
Sorbs1	-0.12	0.14	-0.05	-0.13	0.12	0.1	-0.11	-0.11
Tpt1	0.61	0.14	0.36	0.47	0.24	0.12	0.67	0.02
Zmat2	0.02	0.14	0	-0.18	0.17	0.11	-0.03	-0.05
Pnpla8	0.13	-0.1	0.08	-0.01	0.02	0.02	-0.18	0.06
Oma1	0.1	-0.1	0.08	0.19	-0.08	-0.01	0.1	0.02
Lactb	0.07	0.14	0.06	0.03	0.09	0.01	-0.04	0.07
Mrps31	0.14	-0.1	0.2	0.05	0.07	-0.09	0.12	0.19
Nrap	-0.06	0.14	0.06	0.07	0.19	0.17	0.59	-0.09
Mdh2	0.12	-0.1	0.17	0.91	0.72	-0.85	-0.48	-0.43
Cisd3	0.06	-0.1	0.02	0.06	0.02	0.28	-0.1	0.11
Ckap4	-0.1	-0.1	0.07	0.06	-0.16	0.08	0.35	0.02
Dtna	-0.01	0.14	-0.06	-0.12	0.07	0.01	0.01	0.06
Hspa5	0.01	-0.1	0.05	-0.1	-0.06	-0.03	-0.02	-0.13
Mt.Cyb	0.2	-0.1	0.5	0.61	0.01	-0.3	0.7	-0.19
Sec16a	-0.06	-0.1	-0.05	-0.25	-0.13	0.01	-0.02	-0.03
Txlna	0.06	-0.1	-0.04	0	-0.06	0.01	-0.05	-0.07
Exoc4	0.11	0.14	0.01	-0.14	-0.01	0.08	-0.1	0.07
Stt3b	-0.09	-0.1	-0.15	-0.01	0.03	0.03	-0.19	0.03
Arpc4	0.15	-0.1	0.07	0.23	-0.02	-0.18	0.17	-0.05
Pex14	0.04	0.14	0.24	0.02	0.09	0.03	0.3	0.01
Gnpat	-0.05	0.14	0.12	-0.06	0.01	-0.06	-0.15	0.18
Afap1l1	-0.08	0.14	-0.08	-0.13	-0.07	0.04	-0.39	-0.01
Akap13	-0.13	0.14	-0.03	-0.2	-0.1	0.19	-0.29	0.01
Chd2	-0.04	-0.1	-0.08	0.25	-0.04	-0.05	-0.34	-0.2
Camk2d	0.26	0.14	0.24	0.07	-0.24	0.02	0.08	0.16
Psmd2	-0.1	-0.1	0	-0.21	0.15	-0.07	0.07	-0.16
Ears2	-0.01	-0.1	0.01	0.11	-0.03	-0.12	-0.07	0.05
Psmc5	-0.05	-0.1	0.04	-0.12	0.08	-0.04	0.08	-0.19
Atp1a1	0.22	0.14	0.24	0.17	0.07	-0.03	0.2	0.03
Srp68	0.03	-0.1	0.05	0.05	-0.13	-0.16	0.15	0.15
Gatd3a	-0.05	0.14	-0.12	0.21	-0.15	-0.18	-0.26	0.31
Raph1	0.06	-0.1	-0.11	-0.08	-0.07	0.05	-0.03	0.05
Htatsf1	-0.08	-0.1	0.04	-0.28	0.05	0.21	-0.19	-0.05
Copb1	0.2	-0.1	0.16	0.05	-0.08	-0.11	0.21	-0.02
Phf11	-0.1	-0.1	-0.11	-0.13	-0.02	-0.31	0.39	-0.03
Luc7l3	-0.06	-0.1	-0.18	-0.2	-0.07	-0.05	-0.05	0.15
Cep68	-0.1	0.13	0.12	-0.2	0.05	0.22	-0.38	-0.07
Ccdc146	-0.08	0.13	-0.1	0.02	0.22	0.06	-0.38	-0.05
Serf2	-0.08	-0.1	-0.14	-0.15	-0.04	0.05	0.06	0.01
Mtnd4	-0.02	-0.1	0.33	0.47	0.12	-0.15	0.44	-0.05
Dusp27	-0.06	0.13	0.2	-0.04	-0.49	0.04	-0.58	-0.02
Actg1	-0.19	0.13	-0.13	-0.27	0.24	0.26	-0.57	-0.16
Ttn.1	-0.16	0.13	-0.07	-0.07	0.08	0.1	-0.43	-0.05
Acadl	0.42	0.13	-0.1	0.34	-0.15	-0.36	-0.03	0.51
Gsn	0.43	-0.09	0.15	0.36	-0.51	-0.28	0.3	0.38
Dbt	0.03	0.13	-0.07	0.44	0.13	0.19	0.17	-0.07
Uba1	-0.1	0.13	-0.06	0.06	-0.29	-0.01	-0.38	-0.03
Fbxo40	-0.08	-0.09	-0.05	0.14	-0.12	-0.1	0.84	0.12
Dmd	0	0.13	-0.06	-0.12	0.03	0.02	-0.16	0.03
Yes1	0.16	-0.09	-0.08	-0.02	0.08	-0.12	0.07	-0.02
Mavs	-0.21	-0.09	0.01	0.12	0.07	-0.11	0.29	-0.27
Cbx3	-0.12	-0.09	-0.28	-0.31	0.1	0.14	-0.13	-0.14
Arhgef2	0.04	-0.09	-0.08	0.03	-0.15	-0.11	0	0.06
Skap2	0.28	-0.09	-0.13	0.7	-0.45	-0.27	-0.24	0.09
Pgam5	-0.11	0.13	-0.05	-0.16	-0.06	0.18	-0.27	-0.03
Snrpc	-0.07	0.13	-0.19	-0.25	0.07	-0.01	-0.04	0.04
Abcc9	-0.03	-0.09	-0.07	0.17	-0.3	-0.29	0.06	0
Cisd2	0.12	-0.09	0.09	0.05	0.03	-0.05	0.23	-0.2
Pygm	0.09	0.13	0.05	0.16	-0.16	-0.55	-0.07	0.32
Sf3b1	-0.1	0.13	-0.08	-0.18	0.09	0.12	-0.13	-0.04
Tars2	-0.07	-0.09	0.02	-0.08	0.31	0	-0.46	0.01
Smndc1	-0.17	-0.09	-0.11	-0.13	0.01	-0.19	-0.15	0.05
Myzap	-0.09	0.13	0.04	-0.06	0.2	0.14	0.03	-0.02
Kank3	0.01	-0.09	-0.23	-0.12	-0.06	-0.15	-0.16	-0.03
Hdgfl3	-0.15	-0.09	-0.22	-0.24	-0.05	0.02	-0.24	0.04
C1qbp	0.38	0.13	0.35	0.29	-0.06	-0.07	0.67	-0.07
Parvb	-0.01	0.13	-0.01	0	-0.05	0.09	-0.07	0.11
Luc7l2	-0.11	-0.09	-0.56	-0.05	-0.18	-0.13	-0.49	0.61
Etfb	0.14	0.13	-0.1	0.19	-0.05	-0.2	-0.16	0.21
Ugp2	0.17	0.13	0.16	0.18	-0.14	-0.02	0.39	0.06
Cfl1	0.04	-0.09	-0.07	0.01	0.05	0.11	0.09	-0.21
Nmnat1	-0.03	0.13	-0.18	-0.2	0.07	0.38	-0.41	-0.1
Tln2	-0.07	0.13	-0.04	-0.1	0.04	0.02	-0.29	0.02
Luzp1	-0.13	0.13	0.04	-0.08	0.04	-0.04	-0.07	0.12
Eml1	0.05	0.13	0.01	0.01	-0.11	-0.03	-0.26	0.11
Uqcrfs1	0.19	-0.09	0.63	0.59	-0.01	-0.25	0.94	-0.23
Mtfr1l	0.1	0.13	0.19	-0.02	0.04	0.06	0.09	-0.03
Psma6	-0.08	-0.09	0.13	-0.09	0.13	-0.05	0.25	-0.16
Vps25	0.1	-0.09	0.02	0.08	-0.02	-0.19	-0.32	-0.03
Col18a1	0.08	0.13	0.11	0.13	-0.09	-0.05	0.15	0.13
Pgk1	0.26	0.13	-0.07	0.07	-0.34	-0.23	-0.17	0.43
Tmem33	0.01	-0.09	0.09	-0.02	0.09	-0.16	0.04	-0.17
Dnaja4	0.08	-0.09	0.06	-0.01	-0.04	-0.01	0.17	0.12
Yars2	0	-0.09	0	0.02	0.03	0.1	-0.19	0.04
Trappc3	0.21	-0.09	0.07	-0.12	0.22	0.06	0.17	-0.14
Ncl	-0.02	-0.09	-0.05	-0.28	-0.11	-0.04	-0.01	0.02
Cycs	0.16	-0.09	-0.01	0.29	0.14	-0.03	0.06	0
Tapt1	-0.01	-0.09	0.28	0.06	-0.1	-0.23	0.16	0
Map7d1	0.06	0.13	-0.06	-0.03	-0.07	-0.02	-0.07	0.01
Psma4	-0.09	-0.09	0.07	-0.09	0.08	-0.02	0	-0.19
Hsd17b10	-0.08	0.13	-0.01	0.01	0.07	0.27	-0.22	-0.02
Nop58	-0.13	0.13	-0.23	-0.28	0.08	0.12	-0.15	-0.11
Nup54	-0.1	0.13	-0.13	-0.16	0.06	0.16	-0.14	0
Rpl27	-0.08	0.13	0	-0.12	0.04	0	0.01	-0.09
Mcu	0.15	0.13	0.23	0.22	0.14	-0.13	0.29	-0.01
Pom121	-0.14	-0.09	-0.08	-0.05	-0.09	0.02	0.14	-0.03
Eif4g2	-0.08	-0.09	0.01	-0.07	-0.02	-0.18	-0.04	-0.03
Cmya5	-0.06	0.13	0	-0.04	0.11	0.04	-0.27	-0.02
Copb2	0.27	-0.09	0.27	-0.1	-0.07	-0.04	0.49	0.15
Slc27a4	0.05	-0.09	0.17	0.06	-0.22	-0.05	-0.21	0.02
Diaph2	0.03	-0.09	-0.02	0.09	0.12	0.11	-0.2	0.05
Ybx2	-0.12	-0.09	-0.13	0.1	0.48	-0.54	-0.29	-0.07
Rbm26	-0.07	0.13	0.02	-0.19	0.06	0.09	-0.22	-0.04
Ccdc47	0.06	0.13	0.12	0.03	0.16	-0.09	0.12	-0.01
Gtf3c4	-0.11	0.13	-0.2	-0.32	0.23	0.07	-0.28	0.05
Pdia6	0.06	-0.09	0.22	-0.04	0.02	0.02	0	-0.27
Ap3d1	0.11	-0.09	0.28	-0.08	-0.17	-0.02	-0.04	0.16
Mrps10	0.28	-0.09	0.23	0.23	-0.14	-0.09	0.27	0.16
Ldhb	0.22	0.13	-0.02	0.23	-0.21	-0.39	-0.05	0.14
Hars2	0.07	0.13	0.09	0.07	0.02	-0.02	-0.34	0.08
Rtn3	0.24	0.13	0.1	0.1	0.15	-0.11	0.25	-0.26
Jph2	-0.09	0.13	0.05	-0.11	0.06	0.05	0.01	-0.08
Atp6v0a1	-0.07	0.13	0.18	0	0.01	0.01	0.03	-0.15
Cav1	0.13	0.13	0.15	0.11	-0.08	-0.14	0.19	-0.09
Bcl2l13	0.21	0.13	0.25	0.4	-0.14	-0.08	0.81	-0.09
Gys1	0.24	-0.09	0.43	0.36	-0.24	-0.79	0.4	-0.31
Cast	0.02	-0.09	-0.24	0.06	0.07	0.17	-0.17	0.01
Eef1a1	-0.02	-0.09	-0.26	-0.09	-0.18	0.13	-0.14	0.07
Tpd52l2	-0.14	-0.09	0.2	-0.04	0.18	0.2	0.05	-0.25
Snrnp70	-0.02	0.13	0.02	-0.19	0.02	0.01	0.01	0.01
Mybpc3.1	-0.06	0.13	-0.03	0.01	0.22	0.09	-0.17	-0.07
Nid2	-0.02	0.13	-0.04	-0.04	-0.1	-0.23	-0.06	0.05
Ndufaf1	0.2	0.13	0.14	-0.04	0.05	-0.1	0.08	0.07
Srpk2	-0.13	0.13	0.01	0	0.09	0.1	-0.03	-0.07
Ndufa9	0.06	-0.08	0.45	0.43	0.03	-0.21	0.6	-0.17
Hspa8	-0.01	0.13	0.01	-0.07	0.07	0.08	0.1	-0.04
Snd1	-0.02	-0.08	0.07	-0.05	-0.12	-0.11	-0.06	0
Bves	0.14	0.13	0.1	-0.04	0	-0.04	0.06	0.04
Krt18	0.09	-0.08	-0.17	-0.01	-0.22	0.7	0.04	0.06
Abcd1	-0.03	0.12	0.14	0.05	0.14	0.06	-0.13	0.11
Bag2	0.05	0.12	-0.03	0.06	0.04	0.14	0.27	0.06
Ap2a2	-0.04	-0.08	-0.01	-0.06	-0.05	-0.06	-0.03	-0.02
Rab14	0.2	-0.08	0.26	0.21	0.07	0.11	0.87	-0.18
Tmed9	0.06	0.12	0.13	0.07	-0.03	-0.01	0.46	-0.08
Exoc6b	-0.12	0.12	-0.07	-0.21	0.07	-0.18	-0.25	0.05
Cd36	0.07	0.12	0.17	0.16	0.07	-0.05	0.42	0.01
Mtmr2	0.3	0.12	-0.01	0.16	-0.07	-0.2	0.03	0.01
Sept8	0.02	-0.08	-0.16	-0.02	0.01	-0.07	-0.13	0.08
Dhx29	-0.45	0.12	-0.24	-0.1	0.02	-0.27	-0.04	0
Mcrip2	0.09	-0.08	0.09	-0.32	0.21	0	-0.41	0.13
Prrc2c	-0.01	-0.08	-0.02	-0.18	-0.08	-0.12	-0.15	0
Ank3.1	0.04	0.12	0.03	-0.03	-0.02	-0.02	0.01	0.01
Add1	0.12	-0.08	0.08	0.1	-0.11	-0.12	0.02	-0.02
Mrps34	0.29	-0.08	0.17	0.16	-0.13	-0.03	0.32	0.13
Tmx4	-0.11	0.12	-0.07	-0.04	0.23	0.07	-0.11	-0.3
Mtco1	-0.13	-0.08	0.42	0.35	0.05	-0.13	0.2	-0.02
Sqor	0.09	0.12	0.05	0.09	-0.03	0.02	-0.05	0.13
Mfap1b	0.04	0.12	-0.31	-0.21	0.06	0.14	-0.26	0.03
Mlip	-0.21	0.12	0.13	-0.14	0.13	0.02	-0.05	-0.01
Eno1.1	-0.12	0.12	0.05	0.03	0.11	0.18	-0.07	-0.03
Acot7	-0.1	0.12	-0.1	-0.13	-0.11	-0.03	-0.68	-0.27
Mmrn1	-0.12	0.12	0.14	-0.24	-0.63	0.06	0	0.07
Snrpg	-0.11	0.12	-0.22	-0.11	0.15	0	0.08	0.02
Slc12a7	0.23	0.12	0.23	-0.07	-0.04	0.09	0.4	0.03
Tomm7	-0.05	0.12	0.41	0.23	0.08	-0.29	0.37	-0.15
Nfrkb	-0.16	-0.08	-0.2	-0.09	0	-0.01	-0.51	0.06
