PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Decr1	0.32	0.32	0.14	0.12	0.1	0.09	-0.16	0.27
Rpa1	0.49	-0.3	0.12	-0.18	0.42	-0.1	-0.56	-0.11
Ptprm	-0.22	0.32	-0.07	-0.5	0.15	-0.03	-0.13	-0.18
Mybpc3	-0.08	0.32	0.06	-0.13	0.1	0.04	-0.16	-0.16
Aldh4a1	0.75	0.32	-0.1	0.2	-0.51	-0.25	-0.2	0.37
Mug1	0.01	0.32	0.24	0.3	0.21	0.09	0.18	0.36
Tmem41b	2.39	-0.3	-0.31	-0.07	0.1	2	-0.1	-0.24
Gp1ba	0.54	-0.3	0.04	0.58	-0.55	-0.28	-0.29	0.21
Btnl9	0.05	0.31	-0.13	0.18	-0.2	0.28	-0.13	0.25
Abcb10	0.02	-0.3	0.13	0.18	-0.13	-0.04	0.14	0.09
Sec23a	0.01	0.31	-0.02	-0.12	0.18	-0.12	0.19	0.27
Adnp	-0.2	0.31	-0.18	-0.11	-0.1	0.17	-0.36	-0.22
Stom	0.2	0.31	0.12	0.37	-0.01	-0.02	0.28	0.08
Tubb5	0.32	-0.29	0.09	0	-0.12	-0.04	-0.16	0.05
Pacs1	0.17	0.31	-0.04	-0.1	0	0.06	-0.1	0.14
Inpp5a	-0.06	-0.29	0.28	0.29	-0.06	-0.17	0.56	-0.06
Cgnl1	0.01	-0.29	-0.07	-0.07	-0.07	0.08	-0.32	0.05
Map6	-0.38	-0.29	-0.2	-0.06	0.14	-0.11	-0.24	-0.04
Ctnnd1	0.29	-0.29	-0.14	0.26	0	-0.08	0.21	-0.17
Bckdha	0.05	0.3	0.26	0.4	0.02	-0.06	0.47	-0.11
Dnajc21	-0.02	-0.29	0.13	-0.07	-0.15	-0.03	-0.18	0
Sec24b	-0.2	-0.29	0.16	-0.1	-0.17	-0.1	-0.13	-0.11
Aqp7	0	0.3	0.11	0.03	0.19	0	-0.06	0.15
Cul5	-0.16	-0.28	-0.23	-0.06	0.17	0	-0.03	-0.22
Bsg	0.34	0.3	0.61	0.4	-0.01	-0.34	1.28	-0.19
Serpinf1	0.29	0.3	-0.05	0.09	0.09	-0.03	0.24	0.21
Mb	0.13	0.3	0	0.28	-0.15	-0.22	0.22	0.51
